# Copyright (C) 1991-2008 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 8.0 Build 231 07/10/2008 Service Pack 1 SJ Web Edition
# File: C:\Users\dirk\Documents\FH\Lehre\Digitaltechnik\Praktikum\altera\Projects\introtutorial\light.csv
# Generated on: Tue Sep 02 19:25:20 2008

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Location,I/O Bank,I/O Standard,General Function,Special Function,Reserved,Enabled
,PIN_Y24,6,3.3-V LVTTL,Row I/O,LVDS143n,,Yes
,PIN_Y23,6,3.3-V LVTTL,Row I/O,LVDS143p,,Yes
,PIN_AA25,6,3.3-V LVTTL,Row I/O,LVDS142n,,Yes
,PIN_AA26,6,3.3-V LVTTL,Row I/O,LVDS142p,,Yes
,PIN_Y26,6,3.3-V LVTTL,Row I/O,LVDS141n,,Yes
,PIN_Y25,6,3.3-V LVTTL,Row I/O,LVDS141p,,Yes
,PIN_U22,6,3.3-V LVTTL,Row I/O,,,Yes
,PIN_W24,6,3.3-V LVTTL,Row I/O,LVDS140n,,Yes
,PIN_W23,6,3.3-V LVTTL,Row I/O,LVDS140p,,Yes
,PIN_W25,6,3.3-V LVTTL,Row I/O,LVDS139n,,Yes
,PIN_W26,6,3.3-V LVTTL,Row I/O,"LVDS139p, CDPCLK4/DQS3R/CQ3R#",,Yes
,PIN_V23,6,3.3-V LVTTL,Row I/O,LVDS138n,,Yes
,PIN_V24,6,3.3-V LVTTL,Row I/O,LVDS138p,,Yes
,PIN_V25,6,3.3-V LVTTL,Row I/O,LVDS137n,,Yes
,PIN_V26,6,3.3-V LVTTL,Row I/O,LVDS137p,,Yes
,PIN_U21,6,3.3-V LVTTL,Row I/O,LVDS136n,,Yes
,PIN_U20,6,3.3-V LVTTL,Row I/O,LVDS136p,,Yes
,PIN_T19,6,3.3-V LVTTL,Row I/O,LVDS135n,,Yes
,PIN_R19,6,3.3-V LVTTL,Row I/O,LVDS135p,,Yes
,PIN_U24,6,3.3-V LVTTL,Row I/O,LVDS134n,,Yes
,PIN_U23,6,3.3-V LVTTL,Row I/O,LVDS134p,,Yes
,PIN_U25,6,3.3-V LVTTL,Row I/O,LVDS133n,,Yes
,PIN_U26,6,3.3-V LVTTL,Row I/O,LVDS133p,,Yes
,PIN_T20,6,3.3-V LVTTL,Row I/O,,,Yes
,PIN_T21,6,3.3-V LVTTL,Row I/O,VREFB6N0,,Yes
,PIN_T17,6,3.3-V LVTTL,Row I/O,LVDS132n,,Yes
,PIN_T18,6,3.3-V LVTTL,Row I/O,LVDS132p,,Yes
,PIN_T25,6,3.3-V LVTTL,Row I/O,LVDS131n,,Yes
,PIN_T24,6,3.3-V LVTTL,Row I/O,LVDS131p,,Yes
,PIN_P17,6,3.3-V LVTTL,Row I/O,LVDS130n,,Yes
,PIN_R17,6,3.3-V LVTTL,Row I/O,LVDS130p,,Yes
,PIN_T23,6,3.3-V LVTTL,Row I/O,LVDS129n,,Yes
,PIN_T22,6,3.3-V LVTTL,Row I/O,LVDS129p,,Yes
,PIN_R20,6,3.3-V LVTTL,Row I/O,,,Yes
,PIN_R22,6,3.3-V LVTTL,Dedicated Programming,nSTATUS,,Yes
,PIN_R23,6,3.3-V LVTTL,Dedicated Programming,CONF_DONE,,Yes
,PIN_P21,6,3.3-V LVTTL,Dedicated Programming,MSEL1,,Yes
,PIN_P20,6,3.3-V LVTTL,Dedicated Programming,MSEL0,,Yes
,PIN_R24,6,3.3-V LVTTL,Row I/O,LVDS128n,,Yes
,PIN_R25,6,3.3-V LVTTL,Row I/O,LVDS128p,,Yes
,PIN_P24,6,3.3-V LVTTL,Row I/O,LVDS127n,,Yes
,PIN_P23,6,3.3-V LVTTL,Row I/O,"LVDS127p, DPCLK6/DQS1R/CQ1R#",,Yes
,PIN_P26,6,3.3-V LVTTL,Dedicated Clock,"CLK7, LVDSCLK3n, Input",,Yes
,PIN_P25,6,3.3-V LVTTL,Dedicated Clock,"CLK6, LVDSCLK3p, Input",,Yes
,PIN_N24,5,3.3-V LVTTL,Row I/O,LVDS126n,,Yes
,PIN_N23,5,3.3-V LVTTL,Row I/O,"LVDS126p, DPCLK7/DQS0R/CQ1R",,Yes
,PIN_M25,5,3.3-V LVTTL,Row I/O,LVDS125n,,Yes
,PIN_M24,5,3.3-V LVTTL,Row I/O,LVDS125p,,Yes
,PIN_M21,5,3.3-V LVTTL,Row I/O,LVDS124n,,Yes
,PIN_N20,5,3.3-V LVTTL,Row I/O,LVDS124p,,Yes
,PIN_M20,5,3.3-V LVTTL,Row I/O,LVDS123n,,Yes
,PIN_M19,5,3.3-V LVTTL,Row I/O,LVDS123p,,Yes
,PIN_M23,5,3.3-V LVTTL,Row I/O,LVDS122n,,Yes
,PIN_M22,5,3.3-V LVTTL,Row I/O,LVDS122p,,Yes
,PIN_K26,5,3.3-V LVTTL,Row I/O,LVDS121n,,Yes
,PIN_K25,5,3.3-V LVTTL,Row I/O,LVDS121p,,Yes
,PIN_L19,5,3.3-V LVTTL,Row I/O,,,Yes
,PIN_L25,5,3.3-V LVTTL,Row I/O,LVDS120n,,Yes
,PIN_L24,5,3.3-V LVTTL,Row I/O,LVDS120p,,Yes
,PIN_L23,5,3.3-V LVTTL,Row I/O,VREFB5N1,,Yes
,PIN_J26,5,3.3-V LVTTL,Row I/O,LVDS119n,,Yes
,PIN_J25,5,3.3-V LVTTL,Row I/O,LVDS119p,,Yes
,PIN_L20,5,3.3-V LVTTL,Row I/O,LVDS118n,,Yes
,PIN_L21,5,3.3-V LVTTL,Row I/O,LVDS118p,,Yes
,PIN_K24,5,3.3-V LVTTL,Row I/O,LVDS117n,,Yes
,PIN_K23,5,3.3-V LVTTL,Row I/O,LVDS117p,,Yes
,PIN_K21,5,3.3-V LVTTL,Row I/O,,,Yes
,PIN_K19,5,3.3-V LVTTL,Row I/O,LVDS116n,,Yes
,PIN_K18,5,3.3-V LVTTL,Row I/O,LVDS116p,,Yes
,PIN_H19,5,3.3-V LVTTL,Row I/O,,,Yes
,PIN_H26,5,3.3-V LVTTL,Row I/O,LVDS115n,,Yes
,PIN_H25,5,3.3-V LVTTL,Row I/O,LVDS115p,,Yes
,PIN_J24,5,3.3-V LVTTL,Row I/O,LVDS114n,,Yes
,PIN_J23,5,3.3-V LVTTL,Row I/O,LVDS114p,,Yes
,PIN_H24,5,3.3-V LVTTL,Row I/O,LVDS113n,,Yes
,PIN_H23,5,3.3-V LVTTL,Row I/O,LVDS113p,,Yes
,PIN_G26,5,3.3-V LVTTL,Row I/O,LVDS112n,,Yes
,PIN_G25,5,3.3-V LVTTL,Row I/O,"LVDS112p, CDPCLK5/DQS2R/CQ3R",,Yes
,PIN_K22,5,3.3-V LVTTL,Row I/O,,,Yes
,PIN_G24,5,3.3-V LVTTL,Row I/O,LVDS111n,,Yes
,PIN_G23,5,3.3-V LVTTL,Row I/O,LVDS111p,,Yes
,PIN_P18,5,3.3-V LVTTL,Row I/O,LVDS110n,,Yes
,PIN_N18,5,3.3-V LVTTL,Row I/O,LVDS110p,,Yes
,PIN_F26,5,3.3-V LVTTL,Row I/O,LVDS109n,,Yes
,PIN_F25,5,3.3-V LVTTL,Row I/O,LVDS109p,,Yes
,PIN_J20,5,3.3-V LVTTL,Row I/O,LVDS108n,,Yes
,PIN_J21,5,3.3-V LVTTL,Row I/O,LVDS108p,,Yes
,PIN_F23,5,3.3-V LVTTL,Row I/O,LVDS107n,,Yes
,PIN_F24,5,3.3-V LVTTL,Row I/O,LVDS107p,,Yes
,PIN_E25,5,3.3-V LVTTL,Row I/O,LVDS106n,,Yes
,PIN_E26,5,3.3-V LVTTL,Row I/O,LVDS106p,,Yes
,PIN_J22,5,3.3-V LVTTL,Row I/O,VREFB5N0,,Yes
,PIN_D25,5,3.3-V LVTTL,Row I/O,LVDS105n,,Yes
,PIN_D26,5,3.3-V LVTTL,Row I/O,LVDS105p,,Yes
,PIN_C24,5,3.3-V LVTTL,Row I/O,LVDS104n,,Yes
,PIN_C25,5,3.3-V LVTTL,Row I/O,LVDS104p,,Yes
,PIN_B25,5,3.3-V LVTTL,Row I/O,LVDS103n,,Yes
,PIN_B24,5,3.3-V LVTTL,Row I/O,LVDS103p,,Yes
,PIN_E24,5,3.3-V LVTTL,Row I/O,LVDS102n,,Yes
,PIN_E23,5,3.3-V LVTTL,Row I/O,LVDS102p,,Yes
,PIN_H21,5,3.3-V LVTTL,Row I/O,,,Yes
,PIN_G22,5,3.3-V LVTTL,Row I/O,LVDS101n,,Yes
,PIN_G21,5,3.3-V LVTTL,Row I/O,LVDS101p,,Yes
,PIN_D23,5,3.3-V LVTTL,Row I/O,LVDS100n,,Yes
,PIN_E22,5,3.3-V LVTTL,Row I/O,LVDS100p,,Yes
,PIN_F21,5,3.3-V LVTTL,Row I/O,PLL2_OUTp,,Yes
,PIN_F20,5,3.3-V LVTTL,Row I/O,PLL2_OUTn,,Yes
,PIN_G20,,3.3-V LVTTL,GND_PLL2,,,Yes
,PIN_H20,,3.3-V LVTTL,VCCD_PLL2,,,Yes
,PIN_E21,,3.3-V LVTTL,GND_PLL2,,,Yes
,PIN_G19,,3.3-V LVTTL,VCCA_PLL2,,,Yes
,PIN_F19,,3.3-V LVTTL,GNDA_PLL2,,,Yes
,PIN_C23,4,3.3-V LVTTL,Column I/O,LVDS99n,,Yes
,PIN_C22,4,3.3-V LVTTL,Column I/O,LVDS99p,,Yes
,PIN_C21,4,3.3-V LVTTL,Column I/O,LVDS98n,,Yes
,PIN_D21,4,3.3-V LVTTL,Column I/O,LVDS98p,,Yes
,PIN_B23,4,3.3-V LVTTL,Column I/O,LVDS97n,,Yes
,PIN_A23,4,3.3-V LVTTL,Column I/O,LVDS97p,,Yes
,PIN_A22,4,3.3-V LVTTL,Column I/O,LVDS96n,,Yes
,PIN_B22,4,3.3-V LVTTL,Column I/O,"LVDS96p, CDPCLK6/DQS0T/CQ1T",,Yes
,PIN_B21,4,3.3-V LVTTL,Column I/O,LVDS95n,,Yes
,PIN_A21,4,3.3-V LVTTL,Column I/O,LVDS95p,,Yes
,PIN_J18,4,3.3-V LVTTL,Column I/O,LVDS94n,,Yes
,PIN_K17,4,3.3-V LVTTL,Column I/O,LVDS94p,,Yes
,PIN_J16,4,3.3-V LVTTL,Column I/O,LVDS93n,,Yes
,PIN_K16,4,3.3-V LVTTL,Column I/O,LVDS93p,,Yes
,PIN_D20,4,3.3-V LVTTL,Column I/O,,,Yes
,PIN_E20,4,3.3-V LVTTL,Column I/O,VREFB4N0,,Yes
,PIN_B20,4,3.3-V LVTTL,Column I/O,LVDS92n,,Yes
,PIN_A20,4,3.3-V LVTTL,Column I/O,LVDS92p,,Yes
,PIN_C19,4,3.3-V LVTTL,Column I/O,LVDS91n,,Yes
,PIN_D19,4,3.3-V LVTTL,Column I/O,LVDS91p,,Yes
,PIN_B19,4,3.3-V LVTTL,Column I/O,LVDS90n,,Yes
,PIN_A19,4,3.3-V LVTTL,Column I/O,LVDS90p,,Yes
,PIN_E18,4,3.3-V LVTTL,Column I/O,LVDS89n,,Yes
,PIN_D18,4,3.3-V LVTTL,Column I/O,LVDS89p,,Yes
,PIN_G18,4,3.3-V LVTTL,Column I/O,LVDS88n,,Yes
,PIN_F18,4,3.3-V LVTTL,Column I/O,LVDS88p,,Yes
,PIN_J17,4,3.3-V LVTTL,Column I/O,LVDS87n,,Yes
,PIN_H17,4,3.3-V LVTTL,Column I/O,LVDS87p,,Yes
,PIN_F17,4,3.3-V LVTTL,Column I/O,LVDS86n,,Yes
,PIN_G17,4,3.3-V LVTTL,Column I/O,LVDS86p,,Yes
,PIN_D17,4,3.3-V LVTTL,Column I/O,LVDS85n,,Yes
,PIN_C17,4,3.3-V LVTTL,Column I/O,"LVDS85p, DPCLK8/DQS2T/CQ3T",,Yes
,PIN_B18,4,3.3-V LVTTL,Column I/O,LVDS84n,,Yes
,PIN_A18,4,3.3-V LVTTL,Column I/O,LVDS84p,,Yes
,PIN_G16,4,3.3-V LVTTL,Column I/O,LVDS83n,,Yes
,PIN_F16,4,3.3-V LVTTL,Column I/O,LVDS83p,,Yes
,PIN_F15,4,3.3-V LVTTL,Column I/O,LVDS82n,,Yes
,PIN_G15,4,3.3-V LVTTL,Column I/O,LVDS82p,,Yes
,PIN_B17,4,3.3-V LVTTL,Column I/O,LVDS81n,,Yes
,PIN_A17,4,3.3-V LVTTL,Column I/O,LVDS81p,,Yes
,PIN_H16,4,3.3-V LVTTL,Column I/O,LVDS80n,,Yes
,PIN_H15,4,3.3-V LVTTL,Column I/O,LVDS80p,,Yes
,PIN_D16,4,3.3-V LVTTL,Column I/O,VREFB4N1,,Yes
,PIN_E15,4,3.3-V LVTTL,Column I/O,LVDS79n,,Yes
,PIN_D15,4,3.3-V LVTTL,Column I/O,LVDS79p,,Yes
,PIN_C16,4,3.3-V LVTTL,Column I/O,LVDS78n,,Yes
,PIN_B16,4,3.3-V LVTTL,Column I/O,LVDS78p,,Yes
,PIN_B15,4,3.3-V LVTTL,Column I/O,LVDS77n,,Yes
,PIN_C15,4,3.3-V LVTTL,Column I/O,LVDS77p,,Yes
,PIN_G13,4,3.3-V LVTTL,Column I/O,LVDS76n,,Yes
,PIN_F13,4,3.3-V LVTTL,Column I/O,LVDS76p,,Yes
,PIN_G14,4,3.3-V LVTTL,Column I/O,LVDS75n,,Yes
,PIN_F14,4,3.3-V LVTTL,Column I/O,LVDS75p,,Yes
,PIN_D14,4,3.3-V LVTTL,Column I/O,,,Yes
,PIN_A14,4,3.3-V LVTTL,Column I/O,LVDS74n,,Yes
,PIN_B14,4,3.3-V LVTTL,Column I/O,"LVDS74p, DPCLK9/DQS4T/CQ5T",,Yes
,PIN_B13,4,3.3-V LVTTL,Dedicated Clock,"CLK8, LVDSCLK4n, Input",,Yes
,PIN_A13,4,3.3-V LVTTL,Dedicated Clock,"CLK9, LVDSCLK4p, Input",,Yes
,PIN_C13,3,3.3-V LVTTL,Dedicated Clock,"CLK10, LVDSCLK5n, Input",,Yes
,PIN_D13,3,3.3-V LVTTL,Dedicated Clock,"CLK11, LVDSCLK5p, Input",,Yes
,PIN_B12,3,3.3-V LVTTL,Column I/O,LVDS73n,,Yes
,PIN_C12,3,3.3-V LVTTL,Column I/O,"LVDS73p, DPCLK10/DQS5T/CQ5T#",,Yes
,PIN_B11,3,3.3-V LVTTL,Column I/O,LVDS72n,,Yes
,PIN_C11,3,3.3-V LVTTL,Column I/O,LVDS72p,,Yes
,PIN_J11,3,3.3-V LVTTL,Column I/O,LVDS71n,,Yes
,PIN_J10,3,3.3-V LVTTL,Column I/O,LVDS71p,,Yes
,PIN_G12,3,3.3-V LVTTL,Column I/O,LVDS70n,,Yes
,PIN_F12,3,3.3-V LVTTL,Column I/O,LVDS70p,,Yes
,PIN_J14,3,3.3-V LVTTL,Column I/O,LVDS69n,,Yes
,PIN_J13,3,3.3-V LVTTL,Column I/O,LVDS69p,,Yes
,PIN_D12,3,3.3-V LVTTL,Column I/O,LVDS68n,,Yes
,PIN_E12,3,3.3-V LVTTL,Column I/O,LVDS68p,,Yes
,PIN_D11,3,3.3-V LVTTL,Column I/O,VREFB3N0,,Yes
,PIN_G11,3,3.3-V LVTTL,Column I/O,,,Yes
,PIN_A10,3,3.3-V LVTTL,Column I/O,LVDS67n,,Yes
,PIN_B10,3,3.3-V LVTTL,Column I/O,LVDS67p,,Yes
,PIN_D10,3,3.3-V LVTTL,Column I/O,LVDS66n,,Yes
,PIN_C10,3,3.3-V LVTTL,Column I/O,LVDS66p,,Yes
,PIN_A9,3,3.3-V LVTTL,Column I/O,LVDS65n,,Yes
,PIN_B9,3,3.3-V LVTTL,Column I/O,LVDS65p,,Yes
,PIN_E10,3,3.3-V LVTTL,Column I/O,LVDS64n,,Yes
,PIN_F11,3,3.3-V LVTTL,Column I/O,LVDS64p,,Yes
,PIN_H12,3,3.3-V LVTTL,Column I/O,LVDS63n,,Yes
,PIN_H11,3,3.3-V LVTTL,Column I/O,LVDS63p,,Yes
,PIN_A8,3,3.3-V LVTTL,Column I/O,LVDS62n,,Yes
,PIN_B8,3,3.3-V LVTTL,Column I/O,"LVDS62p, DPCLK11/DQS3T/CQ3T#",,Yes
,PIN_C9,3,3.3-V LVTTL,Column I/O,LVDS61n,,Yes
,PIN_D9,3,3.3-V LVTTL,Column I/O,LVDS61p,,Yes
,PIN_G10,3,3.3-V LVTTL,Column I/O,LVDS60n,,Yes
,PIN_F10,3,3.3-V LVTTL,Column I/O,LVDS60p,,Yes
,PIN_C8,3,3.3-V LVTTL,Column I/O,LVDS59n,,Yes
,PIN_D8,3,3.3-V LVTTL,Column I/O,LVDS59p,,Yes
,PIN_A7,3,3.3-V LVTTL,Column I/O,LVDS58n,,Yes
,PIN_B7,3,3.3-V LVTTL,Column I/O,LVDS58p,,Yes
,PIN_D6,3,3.3-V LVTTL,Column I/O,,,Yes
,PIN_C7,3,3.3-V LVTTL,Column I/O,LVDS57n,,Yes
,PIN_D7,3,3.3-V LVTTL,Column I/O,LVDS57p,,Yes
,PIN_F9,3,3.3-V LVTTL,Column I/O,,,Yes
,PIN_G9,3,3.3-V LVTTL,Column I/O,LVDS56n,,Yes
,PIN_H10,3,3.3-V LVTTL,Column I/O,LVDS56p,,Yes
,PIN_H8,3,3.3-V LVTTL,Column I/O,,,Yes
,PIN_E8,3,3.3-V LVTTL,Column I/O,VREFB3N1,,Yes
,PIN_J9,3,3.3-V LVTTL,Column I/O,LVDS55n,,Yes
,PIN_K9,3,3.3-V LVTTL,Column I/O,LVDS55p,,Yes
,PIN_D5,3,3.3-V LVTTL,Column I/O,LVDS54n,,Yes
,PIN_C4,3,3.3-V LVTTL,Column I/O,LVDS54p,,Yes
,PIN_A6,3,3.3-V LVTTL,Column I/O,LVDS53n,,Yes
,PIN_B6,3,3.3-V LVTTL,Column I/O,"LVDS53p, CDPCLK7/DQS1T/CQ1T#",,Yes
,PIN_B5,3,3.3-V LVTTL,Column I/O,LVDS52n,,Yes
,PIN_A5,3,3.3-V LVTTL,Column I/O,LVDS52p,,Yes
,PIN_B4,3,3.3-V LVTTL,Column I/O,LVDS51n,,Yes
,PIN_A4,3,3.3-V LVTTL,Column I/O,LVDS51p,,Yes
,PIN_C6,3,3.3-V LVTTL,Column I/O,LVDS50p,,Yes
,PIN_C5,3,3.3-V LVTTL,Column I/O,LVDS50n/DEV_CLRn,,Yes
,PIN_F8,,3.3-V LVTTL,GNDA_PLL3,,,Yes
,PIN_G8,,3.3-V LVTTL,VCCA_PLL3,,,Yes
,PIN_K10,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_K11,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_K12,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_K13,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_K14,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_K15,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_L11,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_L16,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_L17,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_L18,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_M10,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_M11,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_M16,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_M17,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_N10,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_N17,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_P10,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_R10,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_R11,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_R16,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_T11,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_T16,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_U11,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_U13,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_U14,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_U15,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_U16,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_V16,,3.3-V LVTTL,VCCINT,,,Yes
,PIN_C1,,3.3-V LVTTL,VCCIO2,,,Yes
,PIN_F5,,3.3-V LVTTL,VCCIO2,,,Yes
,PIN_L1,,3.3-V LVTTL,VCCIO2,,,Yes
,PIN_M9,,3.3-V LVTTL,VCCIO2,,,Yes
,PIN_N5,,3.3-V LVTTL,VCCIO2,,,Yes
,PIN_AB5,,3.3-V LVTTL,VCCIO1,,,Yes
,PIN_AD1,,3.3-V LVTTL,VCCIO1,,,Yes
,PIN_P5,,3.3-V LVTTL,VCCIO1,,,Yes
,PIN_R9,,3.3-V LVTTL,VCCIO1,,,Yes
,PIN_T1,,3.3-V LVTTL,VCCIO1,,,Yes
,PIN_V8,,3.3-V LVTTL,VCCIO1,,,Yes
,PIN_AB6,,3.3-V LVTTL,VCCIO8,,,Yes
,PIN_AB9,,3.3-V LVTTL,VCCIO8,,,Yes
,PIN_AB13,,3.3-V LVTTL,VCCIO8,,,Yes
,PIN_AF3,,3.3-V LVTTL,VCCIO8,,,Yes
,PIN_AF11,,3.3-V LVTTL,VCCIO8,,,Yes
,PIN_V12,,3.3-V LVTTL,VCCIO8,,,Yes
,PIN_W9,,3.3-V LVTTL,VCCIO8,,,Yes
,PIN_AB14,,3.3-V LVTTL,VCCIO7,,,Yes
,PIN_AB17,,3.3-V LVTTL,VCCIO7,,,Yes
,PIN_AB22,,3.3-V LVTTL,VCCIO7,,,Yes
,PIN_AD20,,3.3-V LVTTL,VCCIO7,,,Yes
,PIN_AF16,,3.3-V LVTTL,VCCIO7,,,Yes
,PIN_AF24,,3.3-V LVTTL,VCCIO7,,,Yes
,PIN_V15,,3.3-V LVTTL,VCCIO7,,,Yes
,PIN_W18,,3.3-V LVTTL,VCCIO7,,,Yes
,PIN_AA22,,3.3-V LVTTL,VCCIO6,,,Yes
,PIN_AD26,,3.3-V LVTTL,VCCIO6,,,Yes
,PIN_P22,,3.3-V LVTTL,VCCIO6,,,Yes
,PIN_R18,,3.3-V LVTTL,VCCIO6,,,Yes
,PIN_T26,,3.3-V LVTTL,VCCIO6,,,Yes
,PIN_V19,,3.3-V LVTTL,VCCIO6,,,Yes
,PIN_C26,,3.3-V LVTTL,VCCIO5,,,Yes
,PIN_F22,,3.3-V LVTTL,VCCIO5,,,Yes
,PIN_J19,,3.3-V LVTTL,VCCIO5,,,Yes
,PIN_L26,,3.3-V LVTTL,VCCIO5,,,Yes
,PIN_M18,,3.3-V LVTTL,VCCIO5,,,Yes
,PIN_N22,,3.3-V LVTTL,VCCIO5,,,Yes
,PIN_A16,,3.3-V LVTTL,VCCIO4,,,Yes
,PIN_A24,,3.3-V LVTTL,VCCIO4,,,Yes
,PIN_C20,,3.3-V LVTTL,VCCIO4,,,Yes
,PIN_D22,,3.3-V LVTTL,VCCIO4,,,Yes
,PIN_E14,,3.3-V LVTTL,VCCIO4,,,Yes
,PIN_E17,,3.3-V LVTTL,VCCIO4,,,Yes
,PIN_H18,,3.3-V LVTTL,VCCIO4,,,Yes
,PIN_J15,,3.3-V LVTTL,VCCIO4,,,Yes
,PIN_A3,,3.3-V LVTTL,VCCIO3,,,Yes
,PIN_A11,,3.3-V LVTTL,VCCIO3,,,Yes
,PIN_E6,,3.3-V LVTTL,VCCIO3,,,Yes
,PIN_E9,,3.3-V LVTTL,VCCIO3,,,Yes
,PIN_E13,,3.3-V LVTTL,VCCIO3,,,Yes
,PIN_H9,,3.3-V LVTTL,VCCIO3,,,Yes
,PIN_J12,,3.3-V LVTTL,VCCIO3,,,Yes
,PIN_L12,,3.3-V LVTTL,GND,,,Yes
,PIN_L13,,3.3-V LVTTL,GND,,,Yes
,PIN_L14,,3.3-V LVTTL,GND,,,Yes
,PIN_L15,,3.3-V LVTTL,GND,,,Yes
,PIN_M12,,3.3-V LVTTL,GND,,,Yes
,PIN_M13,,3.3-V LVTTL,GND,,,Yes
,PIN_M14,,3.3-V LVTTL,GND,,,Yes
,PIN_M15,,3.3-V LVTTL,GND,,,Yes
,PIN_N11,,3.3-V LVTTL,GND,,,Yes
,PIN_N12,,3.3-V LVTTL,GND,,,Yes
,PIN_N13,,3.3-V LVTTL,GND,,,Yes
,PIN_N14,,3.3-V LVTTL,GND,,,Yes
,PIN_N15,,3.3-V LVTTL,GND,,,Yes
,PIN_N16,,3.3-V LVTTL,GND,,,Yes
,PIN_P11,,3.3-V LVTTL,GND,,,Yes
,PIN_P12,,3.3-V LVTTL,GND,,,Yes
,PIN_P13,,3.3-V LVTTL,GND,,,Yes
,PIN_P14,,3.3-V LVTTL,GND,,,Yes
,PIN_P15,,3.3-V LVTTL,GND,,,Yes
,PIN_P16,,3.3-V LVTTL,GND,,,Yes
,PIN_R12,,3.3-V LVTTL,GND,,,Yes
,PIN_R13,,3.3-V LVTTL,GND,,,Yes
,PIN_R14,,3.3-V LVTTL,GND,,,Yes
,PIN_R15,,3.3-V LVTTL,GND,,,Yes
,PIN_T12,,3.3-V LVTTL,GND,,,Yes
,PIN_T13,,3.3-V LVTTL,GND,,,Yes
,PIN_T14,,3.3-V LVTTL,GND,,,Yes
,PIN_T15,,3.3-V LVTTL,GND,,,Yes
,PIN_A2,,3.3-V LVTTL,GND,,,Yes
,PIN_A12,,3.3-V LVTTL,GND,,,Yes
,PIN_A15,,3.3-V LVTTL,GND,,,Yes
,PIN_A25,,3.3-V LVTTL,GND,,,Yes
,PIN_AB7,,3.3-V LVTTL,GND,,,Yes
,PIN_AB11,,3.3-V LVTTL,GND,,,Yes
,PIN_AB16,,3.3-V LVTTL,GND,,,Yes
,PIN_AB19,,3.3-V LVTTL,GND,,,Yes
,PIN_AC4,,3.3-V LVTTL,GND,,,Yes
,PIN_AD9,,3.3-V LVTTL,GND,,,Yes
,PIN_AD14,,3.3-V LVTTL,GND,,,Yes
,PIN_AD18,,3.3-V LVTTL,GND,,,Yes
,PIN_AE1,,3.3-V LVTTL,GND,,,Yes
,PIN_AE26,,3.3-V LVTTL,GND,,,Yes
,PIN_AF2,,3.3-V LVTTL,GND,,,Yes
,PIN_AF12,,3.3-V LVTTL,GND,,,Yes
,PIN_AF15,,3.3-V LVTTL,GND,,,Yes
,PIN_AF25,,3.3-V LVTTL,GND,,,Yes
,PIN_B1,,3.3-V LVTTL,GND,,,Yes
,PIN_B26,,3.3-V LVTTL,GND,,,Yes
,PIN_C14,,3.3-V LVTTL,GND,,,Yes
,PIN_C18,,3.3-V LVTTL,GND,,,Yes
,PIN_D4,,3.3-V LVTTL,GND,,,Yes
,PIN_D24,,3.3-V LVTTL,GND,,,Yes
,PIN_E7,,3.3-V LVTTL,GND,,,Yes
,PIN_E11,,3.3-V LVTTL,GND,,,Yes
,PIN_E16,,3.3-V LVTTL,GND,,,Yes
,PIN_E19,,3.3-V LVTTL,GND,,,Yes
,PIN_H5,,3.3-V LVTTL,GND,,,Yes
,PIN_H13,,3.3-V LVTTL,GND,,,Yes
,PIN_H14,,3.3-V LVTTL,GND,,,Yes
,PIN_H22,,3.3-V LVTTL,GND,,,Yes
