# Copyright (C) 1991-2008 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 8.0 Build 231 07/10/2008 Service Pack 1 SJ Web Edition
# File: C:\Users\dirk\Documents\FH\Lehre\Digitaltechnik\Praktikum\altera\Projects\introtutorial\light.csv
# Generated on: Tue Sep 02 19:25:20 2008

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Location,I/O Bank,I/O Standard,General Function,Special Function,Reserved,Enabled
,PIN_N4,2,3.3-V LVTTL,Dedicated Programming,nCE,,Yes
,PIN_N2,2,3.3-V LVTTL,Dedicated Clock,"CLK0, LVDSCLK0p, Input",,Yes
,PIN_N1,2,3.3-V LVTTL,Dedicated Clock,"CLK1, LVDSCLK0n, Input",,Yes
,PIN_N7,2,3.3-V LVTTL,Dedicated Programming,nCONFIG,,Yes
,PIN_P2,1,3.3-V LVTTL,Dedicated Clock,"CLK2, LVDSCLK1p, Input",,Yes
,PIN_P1,1,3.3-V LVTTL,Dedicated Clock,"CLK3, LVDSCLK1n, Input",,Yes
,PIN_P3,1,3.3-V LVTTL,Row I/O,"LVDS26p, DPCLK1/DQS1L/CQ1L#",,Yes
,PIN_P4,1,3.3-V LVTTL,Row I/O,LVDS26n,,Yes
,PIN_R2,1,3.3-V LVTTL,Row I/O,LVDS25p,,Yes
,PIN_R3,1,3.3-V LVTTL,Row I/O,LVDS25n,,Yes
,PIN_R4,1,3.3-V LVTTL,Row I/O,LVDS24p,,Yes
,PIN_R5,1,3.3-V LVTTL,Row I/O,LVDS24n,,Yes
,PIN_T10,1,3.3-V LVTTL,Row I/O,LVDS23p,,Yes
,PIN_T9,1,3.3-V LVTTL,Row I/O,LVDS23n,,Yes
,PIN_P7,1,3.3-V LVTTL,Row I/O,LVDS22p,,Yes
,PIN_P6,1,3.3-V LVTTL,Row I/O,LVDS22n,,Yes
,PIN_T2,1,3.3-V LVTTL,Row I/O,LVDS21p,,Yes
,PIN_T3,1,3.3-V LVTTL,Row I/O,LVDS21n,,Yes
,PIN_R6,1,3.3-V LVTTL,Row I/O,LVDS20p,,Yes
,PIN_R7,1,3.3-V LVTTL,Row I/O,LVDS20n,,Yes
,PIN_T4,1,3.3-V LVTTL,Row I/O,VREFB1N0,,Yes
,PIN_U2,1,3.3-V LVTTL,Row I/O,LVDS19p,,Yes
,PIN_U1,1,3.3-V LVTTL,Row I/O,LVDS19n,,Yes
,PIN_U9,1,3.3-V LVTTL,Row I/O,LVDS18p,,Yes
,PIN_U10,1,3.3-V LVTTL,Row I/O,LVDS18n,,Yes
